Variable	Table	CodeOrValue	ValueDescription	Count	Cumulative	SkipToItem
LBXVBF	VOCWB_L	0.0057 to 3.48	Range of Values	2960	2960	
LBXVBF	VOCWB_L	.	Missing	658	3618	
LBDVBFLC	VOCWB_L	0	At or above detection limit	60	60	
LBDVBFLC	VOCWB_L	1	Below lower detection limit	2900	2960	
LBDVBFLC	VOCWB_L	.	Missing	658	3618	
LBXVBM	VOCWB_L	0.0042 to 0.0441	Range of Values	2960	2960	
LBXVBM	VOCWB_L	.	Missing	658	3618	
LBDVBMLC	VOCWB_L	0	At or above detection limit	264	264	
LBDVBMLC	VOCWB_L	1	Below lower detection limit	2696	2960	
LBDVBMLC	VOCWB_L	.	Missing	658	3618	
LBXVBZ	VOCWB_L	0.017 to 2.15	Range of Values	2934	2934	
LBXVBZ	VOCWB_L	.	Missing	684	3618	
LBDVBZLC	VOCWB_L	0	At or above detection limit	709	709	
LBDVBZLC	VOCWB_L	1	Below lower detection limit	2225	2934	
LBDVBZLC	VOCWB_L	.	Missing	684	3618	
LBXVBZN	VOCWB_L	0.106 to 1.6	Range of Values	2957	2957	
LBXVBZN	VOCWB_L	.	Missing	661	3618	
LBDVZBLC	VOCWB_L	0	At or above detection limit	133	133	
LBDVZBLC	VOCWB_L	1	Below lower detection limit	2824	2957	
LBDVZBLC	VOCWB_L	.	Missing	661	3618	
LBXVC6	VOCWB_L	0.0141 to 3.49	Range of Values	2934	2934	
LBXVC6	VOCWB_L	.	Missing	684	3618	
LBDVC6LC	VOCWB_L	0	At or above detection limit	20	20	
LBDVC6LC	VOCWB_L	1	Below lower detection limit	2914	2934	
LBDVC6LC	VOCWB_L	.	Missing	684	3618	
LBXVCB	VOCWB_L	0.0078 to 0.158	Range of Values	2949	2949	
LBXVCB	VOCWB_L	.	Missing	669	3618	
LBDVCBLC	VOCWB_L	0	At or above detection limit	2	2	
LBDVCBLC	VOCWB_L	1	Below lower detection limit	2947	2949	
LBDVCBLC	VOCWB_L	.	Missing	669	3618	
LBXVCF	VOCWB_L	0.0057 to 0.685	Range of Values	2939	2939	
LBXVCF	VOCWB_L	.	Missing	679	3618	
LBDVCFLC	VOCWB_L	0	At or above detection limit	1616	1616	
LBDVCFLC	VOCWB_L	1	Below lower detection limit	1323	2939	
LBDVCFLC	VOCWB_L	.	Missing	679	3618	
LBXVCM	VOCWB_L	0.0035 to 0.035	Range of Values	2959	2959	
LBXVCM	VOCWB_L	.	Missing	659	3618	
LBDVCMLC	VOCWB_L	0	At or above detection limit	228	228	
LBDVCMLC	VOCWB_L	1	Below lower detection limit	2731	2959	
LBDVCMLC	VOCWB_L	.	Missing	659	3618	
LBXVCT	VOCWB_L	0.0035 to 0.0524	Range of Values	2960	2960	
LBXVCT	VOCWB_L	.	Missing	658	3618	
LBDVCTLC	VOCWB_L	0	At or above detection limit	9	9	
LBDVCTLC	VOCWB_L	1	Below lower detection limit	2951	2960	
LBDVCTLC	VOCWB_L	.	Missing	658	3618	
LBXVDB	VOCWB_L	0.0283 to 101	Range of Values	2942	2942	
LBXVDB	VOCWB_L	.	Missing	676	3618	
LBDVDBLC	VOCWB_L	0	At or above detection limit	845	845	
LBDVDBLC	VOCWB_L	1	Below lower detection limit	2097	2942	
LBDVDBLC	VOCWB_L	.	Missing	676	3618	
LBXVDEE	VOCWB_L	0.0283 to 0.508	Range of Values	2914	2914	
LBXVDEE	VOCWB_L	.	Missing	704	3618	
LBDVEELC	VOCWB_L	0	At or above detection limit	3	3	
LBDVEELC	VOCWB_L	1	Below lower detection limit	2911	2914	
LBDVEELC	VOCWB_L	.	Missing	704	3618	
LBXVEA	VOCWB_L	0.112 to 43.3	Range of Values	2797	2797	
LBXVEA	VOCWB_L	.	Missing	821	3618	
LBDVEALC	VOCWB_L	0	At or above detection limit	45	45	
LBDVEALC	VOCWB_L	1	Below lower detection limit	2752	2797	
LBDVEALC	VOCWB_L	.	Missing	821	3618	
LBXVEB	VOCWB_L	0.017 to 4.92	Range of Values	2936	2936	
LBXVEB	VOCWB_L	.	Missing	682	3618	
LBDVEBLC	VOCWB_L	0	At or above detection limit	543	543	
LBDVEBLC	VOCWB_L	1	Below lower detection limit	2393	2936	
LBDVEBLC	VOCWB_L	.	Missing	682	3618	
LBXVEC	VOCWB_L	0.0318 to 1.81	Range of Values	2890	2890	
LBXVEC	VOCWB_L	.	Missing	728	3618	
LBDVECLC	VOCWB_L	0	At or above detection limit	8	8	
LBDVECLC	VOCWB_L	1	Below lower detection limit	2882	2890	
LBDVECLC	VOCWB_L	.	Missing	728	3618	
LBXVFN	VOCWB_L	0.0177 to 0.35	Range of Values	2937	2937	
LBXVFN	VOCWB_L	.	Missing	681	3618	
LBDVFNLC	VOCWB_L	0	At or above detection limit	386	386	
LBDVFNLC	VOCWB_L	1	Below lower detection limit	2551	2937	
LBDVFNLC	VOCWB_L	.	Missing	681	3618	
LBXVIBN	VOCWB_L	0.0283 to 0.665	Range of Values	2918	2918	
LBXVIBN	VOCWB_L	.	Missing	700	3618	
LBDVIBLC	VOCWB_L	0	At or above detection limit	204	204	
LBDVIBLC	VOCWB_L	1	Below lower detection limit	2714	2918	
LBDVIBLC	VOCWB_L	.	Missing	700	3618	
LBXVIPB	VOCWB_L	0.0283 to 0.205	Range of Values	2959	2959	
LBXVIPB	VOCWB_L	.	Missing	659	3618	
LBDVIPLC	VOCWB_L	0	At or above detection limit	2	2	
LBDVIPLC	VOCWB_L	1	Below lower detection limit	2957	2959	
LBDVIPLC	VOCWB_L	.	Missing	659	3618	
LBXVMC	VOCWB_L	0.177 to 15.7	Range of Values	2937	2937	
LBXVMC	VOCWB_L	.	Missing	681	3618	
LBDVMCLC	VOCWB_L	0	At or above detection limit	7	7	
LBDVMCLC	VOCWB_L	1	Below lower detection limit	2930	2937	
LBDVMCLC	VOCWB_L	.	Missing	681	3618	
LBXVMCP	VOCWB_L	0.0141 to 15.6	Range of Values	2914	2914	
LBXVMCP	VOCWB_L	.	Missing	704	3618	
LBDVMPLC	VOCWB_L	0	At or above detection limit	22	22	
LBDVMPLC	VOCWB_L	1	Below lower detection limit	2892	2914	
LBDVMPLC	VOCWB_L	.	Missing	704	3618	
LBXVME	VOCWB_L	0.0071 to 0.0631	Range of Values	2944	2944	
LBXVME	VOCWB_L	.	Missing	674	3618	
LBDVMELC	VOCWB_L	0	At or above detection limit	20	20	
LBDVMELC	VOCWB_L	1	Below lower detection limit	2924	2944	
LBDVMELC	VOCWB_L	.	Missing	674	3618	
LBXVMIK	VOCWB_L	0.071 to 0.238	Range of Values	2942	2942	
LBXVMIK	VOCWB_L	.	Missing	676	3618	
LBDVMKLC	VOCWB_L	0	At or above detection limit	21	21	
LBDVMKLC	VOCWB_L	1	Below lower detection limit	2921	2942	
LBDVMKLC	VOCWB_L	.	Missing	676	3618	
LBXVOX	VOCWB_L	0.017 to 5.96	Range of Values	2960	2960	
LBXVOX	VOCWB_L	.	Missing	658	3618	
LBDVOXLC	VOCWB_L	0	At or above detection limit	548	548	
LBDVOXLC	VOCWB_L	1	Below lower detection limit	2412	2960	
LBDVOXLC	VOCWB_L	.	Missing	658	3618	
LBXVST	VOCWB_L	0.0212 to 9.16	Range of Values	2933	2933	
LBXVST	VOCWB_L	.	Missing	685	3618	
LBDVSTLC	VOCWB_L	0	At or above detection limit	1388	1388	
LBDVSTLC	VOCWB_L	1	Below lower detection limit	1545	2933	
LBDVSTLC	VOCWB_L	.	Missing	685	3618	
LBXVTC	VOCWB_L	0.0085 to 0.5	Range of Values	2960	2960	
LBXVTC	VOCWB_L	.	Missing	658	3618	
LBDVTCLC	VOCWB_L	0	At or above detection limit	15	15	
LBDVTCLC	VOCWB_L	1	Below lower detection limit	2945	2960	
LBDVTCLC	VOCWB_L	.	Missing	658	3618	
LBXVTE	VOCWB_L	0.0071 to 0.122	Range of Values	2958	2958	
LBXVTE	VOCWB_L	.	Missing	660	3618	
LBDVTELC	VOCWB_L	0	At or above detection limit	17	17	
LBDVTELC	VOCWB_L	1	Below lower detection limit	2941	2958	
LBDVTELC	VOCWB_L	.	Missing	660	3618	
LBXVTHF	VOCWB_L	0.088 to 19.7	Range of Values	2940	2940	
LBXVTHF	VOCWB_L	.	Missing	678	3618	
LBDVHTLC	VOCWB_L	0	At or above detection limit	5	5	
LBDVHTLC	VOCWB_L	1	Below lower detection limit	2935	2940	
LBDVHTLC	VOCWB_L	.	Missing	678	3618	
LBXVTO	VOCWB_L	0.0177 to 16.7	Range of Values	2924	2924	
LBXVTO	VOCWB_L	.	Missing	694	3618	
LBDVTOLC	VOCWB_L	0	At or above detection limit	2425	2425	
LBDVTOLC	VOCWB_L	1	Below lower detection limit	499	2924	
LBDVTOLC	VOCWB_L	.	Missing	694	3618	
LBXVTP	VOCWB_L	0.0283 to 0.0283	Range of Values	2960	2960	
LBXVTP	VOCWB_L	.	Missing	658	3618	
LBDVTPLC	VOCWB_L	0	At or above detection limit	0	0	
LBDVTPLC	VOCWB_L	1	Below lower detection limit	2960	2960	
LBDVTPLC	VOCWB_L	.	Missing	658	3618	
LBXVXY	VOCWB_L	0.024 to 12.6	Range of Values	2956	2956	
LBXVXY	VOCWB_L	.	Missing	662	3618	
LBDVXYLC	VOCWB_L	0	At or above detection limit	981	981	
LBDVXYLC	VOCWB_L	1	Below lower detection limit	1975	2956	
LBDVXYLC	VOCWB_L	.	Missing	662	3618	
AUQ054	AUQ_L	1	Excellent	5201	5201	AUQ413
AUQ054	AUQ_L	2	Good	4217	9418	AUQ413
AUQ054	AUQ_L	3	A little trouble	1354	10772	
AUQ054	AUQ_L	4	Moderate hearing trouble	645	11417	
AUQ054	AUQ_L	5	A lot of trouble	284	11701	
AUQ054	AUQ_L	6	Deaf	36	11737	
AUQ054	AUQ_L	77	Refused	1	11738	AUQ413
AUQ054	AUQ_L	99	Don't know	2	11740	AUQ413
AUQ054	AUQ_L	.	Missing	4	11744	
AUQ410A	AUQ_L	1	Genetic/Hereditary causes	276	276	
AUQ410A	AUQ_L	77	Refused	0	276	
AUQ410A	AUQ_L	99	Don't know	82	358	
AUQ410A	AUQ_L	.	Missing	11386	11744	
AUQ410B	AUQ_L	2	Ear infections (including fluid in ears)	432	432	
AUQ410B	AUQ_L	.	Missing	11312	11744	
AUQ410C	AUQ_L	3	Ear diseases (Otosclerosis, Menieres, Tumor)	87	87	
AUQ410C	AUQ_L	.	Missing	11657	11744	
AUQ410D	AUQ_L	4	Illness/Infections (Measles, Meningitis, Mumps)	86	86	
AUQ410D	AUQ_L	.	Missing	11658	11744	
AUQ410E	AUQ_L	5	Drugs/Medications	30	30	
AUQ410E	AUQ_L	.	Missing	11714	11744	
AUQ410F	AUQ_L	6	Head or neck injury/trauma	134	134	
AUQ410F	AUQ_L	.	Missing	11610	11744	
AUQ410G	AUQ_L	7	Loud brief explosive noise/sounds	450	450	
AUQ410G	AUQ_L	.	Missing	11294	11744	
AUQ410H	AUQ_L	8	Noise exposure, long-term (machinery, etc.)	806	806	
AUQ410H	AUQ_L	.	Missing	10938	11744	
AUQ410I	AUQ_L	9	Aging, getting older	1179	1179	
AUQ410I	AUQ_L	.	Missing	10565	11744	
AUQ410J	AUQ_L	10	Other causes	66	66	
AUQ410J	AUQ_L	.	Missing	11678	11744	
AUQ144	AUQ_L	1	Less than a year ago	717	717	
AUQ144	AUQ_L	2	1 year to 4 years ago	1378	2095	
AUQ144	AUQ_L	3	5 to 9 years ago	969	3064	
AUQ144	AUQ_L	4	Ten or more years ago	2561	5625	
AUQ144	AUQ_L	5	Never	1963	7588	
AUQ144	AUQ_L	7	Refused	1	7589	
AUQ144	AUQ_L	9	Don't know	218	7807	
AUQ144	AUQ_L	.	Missing	3937	11744	
AUQ101	AUQ_L	1	Always	494	494	
AUQ101	AUQ_L	2	Usually	696	1190	
AUQ101	AUQ_L	3	About half the time	1315	2505	
AUQ101	AUQ_L	4	Seldom	2834	5339	
AUQ101	AUQ_L	5	Never	2444	7783	
AUQ101	AUQ_L	7	Refused	2	7785	
AUQ101	AUQ_L	9	Don't know	19	7804	
AUQ101	AUQ_L	.	Missing	3940	11744	
ACD010A	ACQ_L	1	English	8597	8597	
ACD010A	ACQ_L	77	Refused	0	8597	
ACD010A	ACQ_L	99	Don't know	2	8599	
ACD010A	ACQ_L	.	Missing	2773	11372	
ACD010B	ACQ_L	8	Spanish	26	26	
ACD010B	ACQ_L	.	Missing	11346	11372	
ACD010C	ACQ_L	9	Other	689	689	
ACD010C	ACQ_L	.	Missing	10683	11372	
ACD040	ACQ_L	1	Only Spanish,	521	521	
ACD040	ACQ_L	2	More Spanish than English	329	850	
ACD040	ACQ_L	3	Both equally	422	1272	
ACD040	ACQ_L	4	More English than Spanish	466	1738	
ACD040	ACQ_L	5	Only English	566	2304	
ACD040	ACQ_L	7	Refused	10	2314	
ACD040	ACQ_L	9	Don't know	11	2325	
ACD040	ACQ_L	.	Missing	9047	11372	
ALQ111	ALQ_L	1	Yes	4918	4918	
ALQ111	ALQ_L	2	No	558	5476	End of Section
ALQ111	ALQ_L	7	Refused	0	5476	
ALQ111	ALQ_L	9	Don't know	5	5481	
ALQ111	ALQ_L	.	Missing	856	6337	
ALQ121	ALQ_L	0	Never in the last year	836	836	ALQ151
ALQ121	ALQ_L	1	Every day	163	999	
ALQ121	ALQ_L	2	Nearly every day	301	1300	
ALQ121	ALQ_L	3	3 to 4 times a week	458	1758	
ALQ121	ALQ_L	4	2 times a week	483	2241	
ALQ121	ALQ_L	5	Once a week	420	2661	
ALQ121	ALQ_L	6	2 to 3 times a month	574	3235	
ALQ121	ALQ_L	7	Once a month	362	3597	
ALQ121	ALQ_L	8	7 to 11 times in the last year	261	3858	
ALQ121	ALQ_L	9	3 to 6 times in the last year	517	4375	
ALQ121	ALQ_L	10	1 to 2 times in the last year	542	4917	
ALQ121	ALQ_L	77	Refused	2	4919	
ALQ121	ALQ_L	99	Don't know	3	4922	
ALQ121	ALQ_L	.	Missing	1415	6337	
ALQ130	ALQ_L	1 to 14	Range of Values	4035	4035	
ALQ130	ALQ_L	15	15 drinks or more	20	4055	
ALQ130	ALQ_L	777	Refused	4	4059	
ALQ130	ALQ_L	999	Don't know	10	4069	
ALQ130	ALQ_L	.	Missing	2268	6337	
ALQ142	ALQ_L	0	Never in the last year	1709	1709	ALQ151
ALQ142	ALQ_L	1	Every day	39	1748	
ALQ142	ALQ_L	2	Nearly every day	63	1811	
ALQ142	ALQ_L	3	3 to 4 times a week	122	1933	
ALQ142	ALQ_L	4	2 times a week	114	2047	
ALQ142	ALQ_L	5	Once a week	207	2254	
ALQ142	ALQ_L	6	2 to 3 times a month	249	2503	
ALQ142	ALQ_L	7	Once a month	290	2793	
ALQ142	ALQ_L	8	7 to 11 times in the last year	142	2935	
ALQ142	ALQ_L	9	3 to 6 times in the last year	398	3333	
ALQ142	ALQ_L	10	1 to 2 times in the last year	729	4062	
ALQ142	ALQ_L	77	Refused	8	4070	
ALQ142	ALQ_L	99	Don't know	12	4082	
ALQ142	ALQ_L	.	Missing	2255	6337	
ALQ270	ALQ_L	0	Never in the last year	1020	1020	
ALQ270	ALQ_L	1	Every day	12	1032	
ALQ270	ALQ_L	2	Nearly every day	34	1066	
ALQ270	ALQ_L	3	3 to 4 times a week	57	1123	
ALQ270	ALQ_L	4	2 times a week	71	1194	
ALQ270	ALQ_L	5	Once a week	99	1293	
ALQ270	ALQ_L	6	2 to 3 times a month	128	1421	
ALQ270	ALQ_L	7	Once a month	183	1604	
ALQ270	ALQ_L	8	7 to 11 times in the last year	79	1683	
ALQ270	ALQ_L	9	3 to 6 times in the last year	163	1846	
ALQ270	ALQ_L	10	1 to 2 times in the last year	507	2353	
ALQ270	ALQ_L	77	Refused	4	2357	
ALQ270	ALQ_L	99	Don't know	9	2366	
ALQ270	ALQ_L	.	Missing	3971	6337	
ALQ280	ALQ_L	0	Never in the last year	1391	1391	ALQ151
ALQ280	ALQ_L	1	Every day	12	1403	
ALQ280	ALQ_L	2	Nearly every day	21	1424	
ALQ280	ALQ_L	3	3 to 4 times a week	36	1460	
ALQ280	ALQ_L	4	2 times a week	49	1509	
ALQ280	ALQ_L	5	Once a week	74	1583	
ALQ280	ALQ_L	6	2 to 3 times a month	82	1665	
ALQ280	ALQ_L	7	Once a month	122	1787	
ALQ280	ALQ_L	8	7 to 11 times in the last year	80	1867	
ALQ280	ALQ_L	9	3 to 6 times in the last year	114	1981	
ALQ280	ALQ_L	10	1 to 2 times in the last year	371	2352	
ALQ280	ALQ_L	77	Refused	3	2355	
ALQ280	ALQ_L	99	Don't know	7	2362	
ALQ280	ALQ_L	.	Missing	3975	6337	
ALQ151	ALQ_L	1	Yes	916	916	
ALQ151	ALQ_L	2	No	3979	4895	
ALQ151	ALQ_L	7	Refused	1	4896	
ALQ151	ALQ_L	9	Don't know	5	4901	
ALQ151	ALQ_L	.	Missing	1436	6337	
ALQ170	ALQ_L	0 to 20	Range of Values	2309	2309	
ALQ170	ALQ_L	30	More than 20 times	43	2352	
ALQ170	ALQ_L	777	Refused	3	2355	
ALQ170	ALQ_L	999	Don't know	3	2358	
ALQ170	ALQ_L	.	Missing	3979	6337	
BAQ321A	BAQ_L	1	Yes	1151	1151	
BAQ321A	BAQ_L	2	No	4898	6049	
BAQ321A	BAQ_L	7	Refused	1	6050	
BAQ321A	BAQ_L	9	Don't know	9	6059	
BAQ321A	BAQ_L	.	Missing	11	6070	
BAQ321B	BAQ_L	1	Yes	684	684	
BAQ321B	BAQ_L	2	No	5369	6053	
BAQ321B	BAQ_L	7	Refused	1	6054	
BAQ321B	BAQ_L	9	Don't know	5	6059	
BAQ321B	BAQ_L	.	Missing	11	6070	
BAQ321C	BAQ_L	1	Yes	1433	1433	
BAQ321C	BAQ_L	2	No	4620	6053	
BAQ321C	BAQ_L	7	Refused	2	6055	
BAQ321C	BAQ_L	9	Don't know	3	6058	
BAQ321C	BAQ_L	.	Missing	12	6070	
BAQ321D	BAQ_L	1	Yes	1202	1202	
BAQ321D	BAQ_L	2	No	4851	6053	
BAQ321D	BAQ_L	7	Refused	2	6055	
BAQ321D	BAQ_L	9	Don't know	3	6058	
BAQ321D	BAQ_L	.	Missing	12	6070	
BAQ341	BAQ_L	1	Vertigo	536	536	
BAQ341	BAQ_L	2	Blurring vision	233	769	
BAQ341	BAQ_L	3	Unsteadiness	638	1407	
BAQ341	BAQ_L	4	Light-headed or fainting	715	2122	
BAQ341	BAQ_L	7	Refused	1	2123	
BAQ341	BAQ_L	9	Don't know	16	2139	
BAQ341	BAQ_L	.	Missing	3931	6070	
BAQ391A	BAQ_L	1	Yes	511	511	
BAQ391A	BAQ_L	2	No	1609	2120	
BAQ391A	BAQ_L	7	Refused	0	2120	
BAQ391A	BAQ_L	9	Don't know	2	2122	
BAQ391A	BAQ_L	.	Missing	3948	6070	
BAQ391B	BAQ_L	1	Yes	736	736	
BAQ391B	BAQ_L	2	No	1384	2120	
BAQ391B	BAQ_L	7	Refused	0	2120	
BAQ391B	BAQ_L	9	Don't know	2	2122	
BAQ391B	BAQ_L	.	Missing	3948	6070	
BAQ401	BAQ_L	1	Yes	728	728	
BAQ401	BAQ_L	2	No	1410	2138	
BAQ401	BAQ_L	7	Refused	0	2138	
BAQ401	BAQ_L	9	Don't know	1	2139	
BAQ401	BAQ_L	.	Missing	3931	6070	
BAQ421	BAQ_L	1	No problem,	577	577	
BAQ421	BAQ_L	2	A small problem,	899	1476	
BAQ421	BAQ_L	3	A moderate problem,	443	1919	
BAQ421	BAQ_L	4	A big problem, or	142	2061	
BAQ421	BAQ_L	5	A very big problem?	78	2139	
BAQ421	BAQ_L	7	Refused	0	2139	
BAQ421	BAQ_L	9	Don't know	0	2139	
BAQ421	BAQ_L	.	Missing	3931	6070	
BAQ431	BAQ_L	1	Yes	981	981	
BAQ431	BAQ_L	2	No	1156	2137	
BAQ431	BAQ_L	7	Refused	0	2137	
BAQ431	BAQ_L	9	Don't know	2	2139	
BAQ431	BAQ_L	.	Missing	3931	6070	
BAQ491	BAQ_L	1	Yes	876	876	
BAQ491	BAQ_L	2	No	1258	2134	
BAQ491	BAQ_L	7	Refused	0	2134	
BAQ491	BAQ_L	9	Don't know	5	2139	
BAQ491	BAQ_L	.	Missing	3931	6070	
BAQ530	BAQ_L	1	Never	3220	3220	End of Section
BAQ530	BAQ_L	2	1 or 2 times	1615	4835	
BAQ530	BAQ_L	3	3 to 4 times	604	5439	
BAQ530	BAQ_L	4	About every year	368	5807	
BAQ530	BAQ_L	5	About every month	153	5960	
BAQ530	BAQ_L	6	About every week	43	6003	
BAQ530	BAQ_L	7	Daily or constantly	27	6030	
BAQ530	BAQ_L	77	Refused	1	6031	End of Section
BAQ530	BAQ_L	99	Don't know	29	6060	End of Section
BAQ530	BAQ_L	.	Missing	10	6070	
BAQ550	BAQ_L	1	Never	1087	1087	End of Section
BAQ550	BAQ_L	2	1 or 2 times	1316	2403	
BAQ550	BAQ_L	3	3 to 4 times	204	2607	
BAQ550	BAQ_L	4	5 to 9 times	103	2710	
BAQ550	BAQ_L	5	10 or more times	93	2803	
BAQ550	BAQ_L	7	Refused	0	2803	
BAQ550	BAQ_L	9	Don't know	7	2810	
BAQ550	BAQ_L	.	Missing	3260	6070	
BAQ560	BAQ_L	1	Yes	588	588	
BAQ560	BAQ_L	2	No	1131	1719	
BAQ560	BAQ_L	7	Refused	0	1719	
BAQ560	BAQ_L	9	Don't know	4	1723	
BAQ560	BAQ_L	.	Missing	4347	6070	
BPQ020	BPQ_L	1	Yes	2969	2969	
BPQ020	BPQ_L	2	No	5518	8487	BPQ080
BPQ020	BPQ_L	7	Refused	1	8488	BPQ080
BPQ020	BPQ_L	9	Don't know	10	8498	BPQ080
BPQ020	BPQ_L	.	Missing	3	8501	
BPQ030	BPQ_L	1	Yes	2468	2468	
BPQ030	BPQ_L	2	No	474	2942	
BPQ030	BPQ_L	7	Refused	1	2943	
BPQ030	BPQ_L	9	Don't know	25	2968	
BPQ030	BPQ_L	.	Missing	5533	8501	
BPQ150	BPQ_L	1	Yes	2442	2442	
BPQ150	BPQ_L	2	No	523	2965	
BPQ150	BPQ_L	7	Refused	0	2965	
BPQ150	BPQ_L	9	Don't know	4	2969	
BPQ150	BPQ_L	.	Missing	5532	8501	
BPQ080	BPQ_L	1	Yes	3096	3096	
BPQ080	BPQ_L	2	No	5348	8444	
BPQ080	BPQ_L	7	Refused	1	8445	
BPQ080	BPQ_L	9	Don't know	53	8498	
BPQ080	BPQ_L	.	Missing	3	8501	
BPQ101D	BPQ_L	1	Yes	2126	2126	
BPQ101D	BPQ_L	2	No	6339	8465	
BPQ101D	BPQ_L	7	Refused	0	8465	
BPQ101D	BPQ_L	9	Don't know	33	8498	
BPQ101D	BPQ_L	.	Missing	3	8501	
HSQ590	HSQ_L	1	Yes	1654	1654	
HSQ590	HSQ_L	2	No	4087	5741	
HSQ590	HSQ_L	7	Refused	1	5742	
HSQ590	HSQ_L	9	Don't know	9	5751	
HSQ590	HSQ_L	.	Missing	864	6615	
DEQ034A	DEQ_L	1	Always	366	366	
DEQ034A	DEQ_L	2	Most of the time	1153	1519	
DEQ034A	DEQ_L	3	Sometimes	1768	3287	
DEQ034A	DEQ_L	4	Rarely, or	697	3984	
DEQ034A	DEQ_L	5	Never?	283	4267	
DEQ034A	DEQ_L	6	Don't go out in the sun	31	4298	End of Section
DEQ034A	DEQ_L	77	Refused	0	4298	
DEQ034A	DEQ_L	99	Don't know	4	4302	
DEQ034A	DEQ_L	.	Missing	3	4305	
DEQ034C	DEQ_L	1	Always	201	201	
DEQ034C	DEQ_L	2	Most of the time	347	548	
DEQ034C	DEQ_L	3	Sometimes	1092	1640	
DEQ034C	DEQ_L	4	Rarely, or	1165	2805	
DEQ034C	DEQ_L	5	Never?	1465	4270	
DEQ034C	DEQ_L	7	Refused	0	4270	
DEQ034C	DEQ_L	9	Don't know	1	4271	
DEQ034C	DEQ_L	.	Missing	34	4305	
DEQ034D	DEQ_L	1	Always	561	561	
DEQ034D	DEQ_L	2	Most of the time	780	1341	
DEQ034D	DEQ_L	3	Sometimes	992	2333	
DEQ034D	DEQ_L	4	Rarely, or	721	3054	
DEQ034D	DEQ_L	5	Never?	1217	4271	
DEQ034D	DEQ_L	7	Refused	0	4271	
DEQ034D	DEQ_L	9	Don't know	0	4271	
DEQ034D	DEQ_L	.	Missing	34	4305	
DIQ010	DIQ_L	1	Yes	1081	1081	
DIQ010	DIQ_L	2	No	10371	11452	DIQ159
DIQ010	DIQ_L	3	Borderline	284	11736	DIQ159
DIQ010	DIQ_L	7	Refused	0	11736	DIQ159
DIQ010	DIQ_L	9	Don't know	4	11740	DIQ159
DIQ010	DIQ_L	.	Missing	4	11744	
DID040	DIQ_L	1 to 79	Range of Values	1050	1050	
DID040	DIQ_L	80	80 years or older	7	1057	
DID040	DIQ_L	666	Less than 1 year	0	1057	
DID040	DIQ_L	777	Refused	0	1057	
DID040	DIQ_L	999	Don't know	24	1081	
DID040	DIQ_L	.	Missing	10663	11744	
DIQ160	DIQ_L	1	Yes	918	918	
DIQ160	DIQ_L	2	No	7089	8007	
DIQ160	DIQ_L	7	Refused	0	8007	
DIQ160	DIQ_L	9	Don't know	15	8022	
DIQ160	DIQ_L	.	Missing	3722	11744	
DIQ180	DIQ_L	1	Yes	3370	3370	DIQ065
DIQ180	DIQ_L	2	No	4667	8037	DIQ065
DIQ180	DIQ_L	7	Refused	2	8039	DIQ065
DIQ180	DIQ_L	9	Don't know	265	8304	DIQ065
DIQ180	DIQ_L	.	Missing	3440	11744	
DIQ050	DIQ_L	1	Yes	344	344	
DIQ050	DIQ_L	2	No	737	1081	DIQ065
DIQ050	DIQ_L	7	Refused	0	1081	DIQ065
DIQ050	DIQ_L	9	Don't know	0	1081	DIQ065
DIQ050	DIQ_L	.	Missing	10663	11744	
DID060	DIQ_L	1 to 60	Range of Values	332	332	
DID060	DIQ_L	666	Less than 1 month	3	335	
DID060	DIQ_L	777	Refused	0	335	
DID060	DIQ_L	999	Don't know	8	343	
DID060	DIQ_L	.	Missing	11401	11744	
DIQ060U	DIQ_L	1	Months	35	35	
DIQ060U	DIQ_L	2	Years	297	332	
DIQ060U	DIQ_L	.	Missing	11412	11744	
DIQ070	DIQ_L	1	Yes	885	885	
DIQ070	DIQ_L	2	No	1389	2274	
DIQ070	DIQ_L	7	Refused	0	2274	
DIQ070	DIQ_L	9	Don't know	7	2281	
DIQ070	DIQ_L	.	Missing	9463	11744	
DBQ010	DBQ_L	1	Yes	1121	1121	
DBQ010	DBQ_L	2	No	314	1435	DBD041
DBQ010	DBQ_L	7	Refused	0	1435	DBD041
DBQ010	DBQ_L	9	Don't know	6	1441	DBD041
DBQ010	DBQ_L	.	Missing	10492	11933	
DBD030	DBQ_L	1 to 1095	Range of Values	987	987	
DBD030	DBQ_L	0	Still breastfeeding	124	1111	
DBD030	DBQ_L	666666	More than 1095 days (3-year) old	5	1116	DBD041
DBD030	DBQ_L	777777	Refused	0	1116	DBD041
DBD030	DBQ_L	999999	Don't know	5	1121	DBD041
DBD030	DBQ_L	.	Missing	10812	11933	
DBD041	DBQ_L	1 to 365	Range of Values	1128	1128	
DBD041	DBQ_L	0	Never	288	1416	DBD055
DBD041	DBQ_L	666666	More than 365 days (1-year) old	8	1424	
DBD041	DBQ_L	777777	Refused	0	1424	
DBD041	DBQ_L	999999	Don't know	17	1441	
DBD041	DBQ_L	.	Missing	10492	11933	
DBD050	DBQ_L	2 to 1095	Range of Values	948	948	
DBD050	DBQ_L	0	Still drinking formula	167	1115	
DBD050	DBQ_L	666666	More than 1095 days (3-year) old	3	1118	
DBD050	DBQ_L	777777	Refused	0	1118	
DBD050	DBQ_L	999999	Don't know	35	1153	
