"Variable"	"Table"	"CodeOrValue"	"ValueDescription"	"Count"	"Cumulative"	"SkipToItem"
"CBQ785"	"CBQPFA_J"	"."	"Missing"	1065	5264	
"WTDRD1"	"CBQPFA_J"	"2716.758186 to 691139.54688"	"Range of Values"	5264	5264	
"WTDRD1"	"CBQPFA_J"	"."	"Missing"	0	5264	
"CBQ502"	"CBQPFC_E"	"1"	"Yes"	1781	1781	"CBQ505"
"CBQ502"	"CBQPFC_E"	"2"	"No"	468	2249	""
"CBQ502"	"CBQPFC_E"	"7"	"Refused"	0	2249	""
"CBQ502"	"CBQPFC_E"	"9"	"Don't know"	0	2249	""
"CBQ502"	"CBQPFC_E"	"."	"Missing"	620	2869	""
"CBQ503"	"CBQPFC_E"	"1"	"Yes"	347	347	
"CBQ503"	"CBQPFC_E"	"2"	"No"	121	468	
"CBQ503"	"CBQPFC_E"	"7"	"Refused"	0	468	
"CBQ503"	"CBQPFC_E"	"9"	"Don't know"	0	468	
"CBQ503"	"CBQPFC_E"	"."	"Missing"	2401	2869	
"CBQ505"	"CBQPFC_E"	"1"	"Yes"	2066	2066	""
"CBQ505"	"CBQPFC_E"	"2"	"No"	183	2249	"CBQ550"
"CBQ505"	"CBQPFC_E"	"7"	"Refused"	0	2249	""
"CBQ505"	"CBQPFC_E"	"9"	"Don't know"	0	2249	""
"CBQ505"	"CBQPFC_E"	"."	"Missing"	620	2869	""
"CBQ510"	"CBQPFC_E"	"1"	"Yes"	196	196	
"CBQ510"	"CBQPFC_E"	"2"	"No"	1869	2065	
"CBQ510"	"CBQPFC_E"	"7"	"Refused"	0	2065	
"CBQ510"	"CBQPFC_E"	"9"	"Don't know"	0	2065	
"CBQ510"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ515"	"CBQPFC_E"	"1"	"Yes"	22	22	
"CBQ515"	"CBQPFC_E"	"2"	"No"	2041	2063	
"CBQ515"	"CBQPFC_E"	"7"	"Refused"	0	2063	
"CBQ515"	"CBQPFC_E"	"9"	"Don't know"	2	2065	
"CBQ515"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ520"	"CBQPFC_E"	"1"	"Yes"	206	206	
"CBQ520"	"CBQPFC_E"	"2"	"No"	1859	2065	
"CBQ520"	"CBQPFC_E"	"7"	"Refused"	0	2065	
"CBQ520"	"CBQPFC_E"	"9"	"Don't know"	0	2065	
"CBQ520"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ525"	"CBQPFC_E"	"1"	"Yes"	1572	1572	
"CBQ525"	"CBQPFC_E"	"2"	"No"	493	2065	
"CBQ525"	"CBQPFC_E"	"7"	"Refused"	0	2065	
"CBQ525"	"CBQPFC_E"	"9"	"Don't know"	0	2065	
"CBQ525"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ530"	"CBQPFC_E"	"1"	"Yes"	967	967	
"CBQ530"	"CBQPFC_E"	"2"	"No"	1098	2065	
"CBQ530"	"CBQPFC_E"	"7"	"Refused"	0	2065	
"CBQ530"	"CBQPFC_E"	"9"	"Don't know"	0	2065	
"CBQ530"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ535"	"CBQPFC_E"	"1"	"Yes"	433	433	""
"CBQ535"	"CBQPFC_E"	"2"	"No"	1609	2042	"CBQ545"
"CBQ535"	"CBQPFC_E"	"7"	"Refused"	0	2042	"CBQ545"
"CBQ535"	"CBQPFC_E"	"9"	"Don't know"	23	2065	"CBQ545"
"CBQ535"	"CBQPFC_E"	"."	"Missing"	804	2869	""
"CBQ540"	"CBQPFC_E"	"1"	"Yes"	223	223	
"CBQ540"	"CBQPFC_E"	"2"	"No"	210	433	
"CBQ540"	"CBQPFC_E"	"7"	"Refused"	0	433	
"CBQ540"	"CBQPFC_E"	"9"	"Don't know"	0	433	
"CBQ540"	"CBQPFC_E"	"."	"Missing"	2436	2869	
"CBQ545"	"CBQPFC_E"	"1"	"Often"	598	598	
"CBQ545"	"CBQPFC_E"	"2"	"Sometimes"	879	1477	
"CBQ545"	"CBQPFC_E"	"3"	"Rarely"	397	1874	
"CBQ545"	"CBQPFC_E"	"4"	"Never"	187	2061	
"CBQ545"	"CBQPFC_E"	"7"	"Refused"	0	2061	
"CBQ545"	"CBQPFC_E"	"9"	"Don't know"	4	2065	
"CBQ545"	"CBQPFC_E"	"."	"Missing"	804	2869	
"CBQ550"	"CBQPFC_E"	"1"	"Yes"	1771	1771	""
"CBQ550"	"CBQPFC_E"	"2"	"No"	477	2248	"CBQ595"
"CBQ550"	"CBQPFC_E"	"7"	"Refused"	0	2248	""
"CBQ550"	"CBQPFC_E"	"9"	"Don't know"	0	2248	""
"CBQ550"	"CBQPFC_E"	"."	"Missing"	621	2869	""
"CBQ555"	"CBQPFC_E"	"1"	"Yes"	56	56	
"CBQ555"	"CBQPFC_E"	"2"	"No"	1715	1771	
"CBQ555"	"CBQPFC_E"	"7"	"Refused"	0	1771	
"CBQ555"	"CBQPFC_E"	"9"	"Don't know"	0	1771	
"CBQ555"	"CBQPFC_E"	"."	"Missing"	1098	2869	
"CBQ560"	"CBQPFC_E"	"1"	"Yes"	40	40	
"CBQ560"	"CBQPFC_E"	"2"	"No"	1731	1771	
"CBQ560"	"CBQPFC_E"	"7"	"Refused"	0	1771	
"CBQ560"	"CBQPFC_E"	"9"	"Don't know"	0	1771	
"CBQ560"	"CBQPFC_E"	"."	"Missing"	1098	2869	
"CBQ565"	"CBQPFC_E"	"1"	"Yes"	452	452	
"CBQ565"	"CBQPFC_E"	"2"	"No"	1316	1768	
"CBQ565"	"CBQPFC_E"	"7"	"Refused"	0	1768	
"CBQ565"	"CBQPFC_E"	"9"	"Don't know"	3	1771	
"CBQ565"	"CBQPFC_E"	"."	"Missing"	1098	2869	
"CBQ570"	"CBQPFC_E"	"1"	"Yes"	1120	1120	
"CBQ570"	"CBQPFC_E"	"2"	"No"	646	1766	
"CBQ570"	"CBQPFC_E"	"7"	"Refused"	0	1766	
"CBQ570"	"CBQPFC_E"	"9"	"Don't know"	5	1771	
"CBQ570"	"CBQPFC_E"	"."	"Missing"	1098	2869	
"CBQ575"	"CBQPFC_E"	"1"	"Yes"	1401	1401	
"CBQ575"	"CBQPFC_E"	"2"	"No"	369	1770	
"CBQ575"	"CBQPFC_E"	"7"	"Refused"	0	1770	
"CBQ575"	"CBQPFC_E"	"9"	"Don't know"	0	1770	
"CBQ575"	"CBQPFC_E"	"."	"Missing"	1099	2869	
"CBQ580"	"CBQPFC_E"	"1"	"Yes"	361	361	""
"CBQ580"	"CBQPFC_E"	"2"	"No"	1406	1767	"CBQ590"
"CBQ580"	"CBQPFC_E"	"7"	"Refused"	0	1767	"CBQ590"
"CBQ580"	"CBQPFC_E"	"9"	"Don't know"	3	1770	"CBQ590"
"CBQ580"	"CBQPFC_E"	"."	"Missing"	1099	2869	""
"CBQ585"	"CBQPFC_E"	"1"	"Yes"	199	199	
"CBQ585"	"CBQPFC_E"	"2"	"No"	162	361	
"CBQ585"	"CBQPFC_E"	"7"	"Refused"	0	361	
"CBQ585"	"CBQPFC_E"	"9"	"Don't know"	0	361	
"CBQ585"	"CBQPFC_E"	"."	"Missing"	2508	2869	
"CBQ590"	"CBQPFC_E"	"1"	"Often"	545	545	
"CBQ590"	"CBQPFC_E"	"2"	"Sometimes"	778	1323	
"CBQ590"	"CBQPFC_E"	"3"	"Rarely"	286	1609	
"CBQ590"	"CBQPFC_E"	"4"	"Never"	158	1767	
"CBQ590"	"CBQPFC_E"	"7"	"Refused"	0	1767	
"CBQ590"	"CBQPFC_E"	"9"	"Don't know"	3	1770	
"CBQ590"	"CBQPFC_E"	"."	"Missing"	1099	2869	
"CBQ595"	"CBQPFC_E"	"1"	"Yes"	1268	1268	"CBQ605"
"CBQ595"	"CBQPFC_E"	"2"	"No"	979	2247	""
"CBQ595"	"CBQPFC_E"	"7"	"Refused"	0	2247	""
"CBQ595"	"CBQPFC_E"	"9"	"Don't know"	0	2247	""
"CBQ595"	"CBQPFC_E"	"."	"Missing"	622	2869	""
"CBQ600"	"CBQPFC_E"	"1"	"Yes"	665	665	"CBQ610"
"CBQ600"	"CBQPFC_E"	"2"	"No"	314	979	"DBQ890"
"CBQ600"	"CBQPFC_E"	"7"	"Refused"	0	979	"DBQ890"
"CBQ600"	"CBQPFC_E"	"9"	"Don't know"	0	979	"DBQ890"
"CBQ600"	"CBQPFC_E"	"."	"Missing"	1890	2869	""
"CBQ605"	"CBQPFC_E"	"1"	"Yes"	179	179	
"CBQ605"	"CBQPFC_E"	"2"	"No"	1089	1268	
"CBQ605"	"CBQPFC_E"	"7"	"Refused"	0	1268	
"CBQ605"	"CBQPFC_E"	"9"	"Don't know"	0	1268	
"CBQ605"	"CBQPFC_E"	"."	"Missing"	1601	2869	
"CBQ610"	"CBQPFC_E"	"1"	"Yes"	771	771	
"CBQ610"	"CBQPFC_E"	"2"	"No"	1162	1933	
"CBQ610"	"CBQPFC_E"	"7"	"Refused"	0	1933	
"CBQ610"	"CBQPFC_E"	"9"	"Don't know"	0	1933	
"CBQ610"	"CBQPFC_E"	"."	"Missing"	936	2869	
"DBQ890"	"CBQPFC_E"	"1"	"Strongly agree"	158	158	
"DBQ890"	"CBQPFC_E"	"2"	"Somewhat agree"	471	629	
"DBQ890"	"CBQPFC_E"	"3"	"Neither agree nor disagree"	183	812	
"DBQ890"	"CBQPFC_E"	"4"	"Somewhat disagree"	550	1362	
"DBQ890"	"CBQPFC_E"	"5"	"Strongly disagree"	875	2237	
"DBQ890"	"CBQPFC_E"	"7"	"Refused"	0	2237	
"DBQ890"	"CBQPFC_E"	"9"	"Don't know"	10	2247	
"DBQ890"	"CBQPFC_E"	"."	"Missing"	622	2869	
"CBQ660"	"CBQPFC_E"	"1"	"Very important"	1210	1210	""
"CBQ660"	"CBQPFC_E"	"2"	"Somewhat important"	827	2037	""
"CBQ660"	"CBQPFC_E"	"3"	"Not too important"	165	2202	""
"CBQ660"	"CBQPFC_E"	"4"	"Not at all important"	42	2244	""
"CBQ660"	"CBQPFC_E"	"5"	"Never buy from a grocery store or supermarket"	3	2247	"DBQ750"
"CBQ660"	"CBQPFC_E"	"7"	"Refused"	0	2247	""
"CBQ660"	"CBQPFC_E"	"9"	"Don't know"	0	2247	""
"CBQ660"	"CBQPFC_E"	"."	"Missing"	622	2869	""
"CBQ665"	"CBQPFC_E"	"1"	"Very important"	1611	1611	
"CBQ665"	"CBQPFC_E"	"2"	"Somewhat important"	586	2197	
"CBQ665"	"CBQPFC_E"	"3"	"Not too important"	40	2237	
"CBQ665"	"CBQPFC_E"	"4"	"Not at all important"	6	2243	
"CBQ665"	"CBQPFC_E"	"7"	"Refused"	0	2243	
"CBQ665"	"CBQPFC_E"	"9"	"Don't know"	1	2244	
"CBQ665"	"CBQPFC_E"	"."	"Missing"	625	2869	
"CBQ670"	"CBQPFC_E"	"1"	"Very important"	1804	1804	
"CBQ670"	"CBQPFC_E"	"2"	"Somewhat important"	380	2184	
"CBQ670"	"CBQPFC_E"	"3"	"Not too important"	52	2236	
"CBQ670"	"CBQPFC_E"	"4"	"Not at all important"	8	2244	
"CBQ670"	"CBQPFC_E"	"7"	"Refused"	0	2244	
"CBQ670"	"CBQPFC_E"	"9"	"Don't know"	0	2244	
"CBQ670"	"CBQPFC_E"	"."	"Missing"	625	2869	
"CBQ675"	"CBQPFC_E"	"1"	"Very important"	861	861	
"CBQ675"	"CBQPFC_E"	"2"	"Somewhat important"	870	1731	
"CBQ675"	"CBQPFC_E"	"3"	"Not too important"	396	2127	
"CBQ675"	"CBQPFC_E"	"4"	"Not at all important"	115	2242	
"CBQ675"	"CBQPFC_E"	"7"	"Refused"	0	2242	
"CBQ675"	"CBQPFC_E"	"9"	"Don't know"	2	2244	
"CBQ675"	"CBQPFC_E"	"."	"Missing"	625	2869	
"CBQ680"	"CBQPFC_E"	"1"	"Very important"	1431	1431	
"CBQ680"	"CBQPFC_E"	"2"	"Somewhat important"	575	2006	
"CBQ680"	"CBQPFC_E"	"3"	"Not too important"	189	2195	
"CBQ680"	"CBQPFC_E"	"4"	"Not at all important"	42	2237	
"CBQ680"	"CBQPFC_E"	"7"	"Refused"	0	2237	
"CBQ680"	"CBQPFC_E"	"9"	"Don't know"	7	2244	
"CBQ680"	"CBQPFC_E"	"."	"Missing"	625	2869	
"DBQ750"	"CBQPFC_E"	"1"	"Always"	272	272	
"DBQ750"	"CBQPFC_E"	"2"	"Most of the time"	491	763	
"DBQ750"	"CBQPFC_E"	"3"	"Sometimes"	900	1663	
"DBQ750"	"CBQPFC_E"	"4"	"Rarely"	343	2006	
"DBQ750"	"CBQPFC_E"	"5"	"Never"	236	2242	
"DBQ750"	"CBQPFC_E"	"6"	"Never seen"	4	2246	
"DBQ750"	"CBQPFC_E"	"7"	"Refused"	0	2246	
"DBQ750"	"CBQPFC_E"	"9"	"Don't know"	1	2247	
"DBQ750"	"CBQPFC_E"	"."	"Missing"	622	2869	
"DBQ760"	"CBQPFC_E"	"1"	"Always"	271	271	
"DBQ760"	"CBQPFC_E"	"2"	"Most of the time"	393	664	
"DBQ760"	"CBQPFC_E"	"3"	"Sometimes"	767	1431	
"DBQ760"	"CBQPFC_E"	"4"	"Rarely"	505	1936	
"DBQ760"	"CBQPFC_E"	"5"	"Never"	304	2240	
"DBQ760"	"CBQPFC_E"	"6"	"Never seen"	4	2244	
"DBQ760"	"CBQPFC_E"	"7"	"Refused"	0	2244	
"DBQ760"	"CBQPFC_E"	"9"	"Don't know"	3	2247	
"DBQ760"	"CBQPFC_E"	"."	"Missing"	622	2869	
"DBQ770"	"CBQPFC_E"	"1"	"Always"	271	271	
"DBQ770"	"CBQPFC_E"	"2"	"Most of the time"	397	668	
"DBQ770"	"CBQPFC_E"	"3"	"Sometimes"	787	1455	
"DBQ770"	"CBQPFC_E"	"4"	"Rarely"	457	1912	
"DBQ770"	"CBQPFC_E"	"5"	"Never"	326	2238	
"DBQ770"	"CBQPFC_E"	"6"	"Never seen"	6	2244	
"DBQ770"	"CBQPFC_E"	"7"	"Refused"	0	2244	
"DBQ770"	"CBQPFC_E"	"9"	"Don't know"	3	2247	
"DBQ770"	"CBQPFC_E"	"."	"Missing"	622	2869	
"CBQ685"	"CBQPFC_E"	"1"	"Always"	234	234	
"CBQ685"	"CBQPFC_E"	"2"	"Most of the time"	316	550	
"CBQ685"	"CBQPFC_E"	"3"	"Sometimes"	735	1285	
"CBQ685"	"CBQPFC_E"	"4"	"Rarely"	545	1830	
"CBQ685"	"CBQPFC_E"	"5"	"Never"	402	2232	
"CBQ685"	"CBQPFC_E"	"6"	"Never seen"	6	2238	
"CBQ685"	"CBQPFC_E"	"7"	"Refused"	0	2238	
"CBQ685"	"CBQPFC_E"	"9"	"Don't know"	9	2247	
"CBQ685"	"CBQPFC_E"	"."	"Missing"	622	2869	
"CBQ695A"	"CBQPFC_E"	"1"	"The amount of this food that people should eat"	1386	1386	
"CBQ695A"	"CBQPFC_E"	"7"	"Refused"	0	1386	
"CBQ695A"	"CBQPFC_E"	"9"	"Don't know"	64	1450	
"CBQ695A"	"CBQPFC_E"	"."	"Missing"	1419	2869	
"CBQ695B"	"CBQPFC_E"	"2"	"The amount of this food that people usually eat"	478	478	
"CBQ695B"	"CBQPFC_E"	"."	"Missing"	2391	2869	
"CBQ695C"	"CBQPFC_E"	"3"	"Something that makes it easier to compare foods"	493	493	
"CBQ695C"	"CBQPFC_E"	"."	"Missing"	2376	2869	
"DBQ780"	"CBQPFC_E"	"1"	"Always"	200	200	
"DBQ780"	"CBQPFC_E"	"2"	"Most of the time"	358	558	
"DBQ780"	"CBQPFC_E"	"3"	"Sometimes"	899	1457	
"DBQ780"	"CBQPFC_E"	"4"	"Rarely"	483	1940	
"DBQ780"	"CBQPFC_E"	"5"	"Never"	295	2235	
"DBQ780"	"CBQPFC_E"	"6"	"Never seen"	7	2242	
"DBQ780"	"CBQPFC_E"	"7"	"Refused"	0	2242	
"DBQ780"	"CBQPFC_E"	"9"	"Don't know"	5	2247	
"DBQ780"	"CBQPFC_E"	"."	"Missing"	622	2869	
"CBQ700"	"CBQPFC_E"	"1"	"Always"	1621	1621	
"CBQ700"	"CBQPFC_E"	"2"	"Most of the time"	372	1993	
"CBQ700"	"CBQPFC_E"	"3"	"Sometimes"	171	2164	
"CBQ700"	"CBQPFC_E"	"4"	"Rarely"	41	2205	
"CBQ700"	"CBQPFC_E"	"5"	"Never"	38	2243	
"CBQ700"	"CBQPFC_E"	"6"	"Never seen"	0	2243	
"CBQ700"	"CBQPFC_E"	"7"	"Refused"	0	2243	
"CBQ700"	"CBQPFC_E"	"9"	"Don't know"	4	2247	
"CBQ700"	"CBQPFC_E"	"."	"Missing"	622	2869	
"CBD710"	"CBQPFC_E"	"1"	"Always"	346	346	
"CBD710"	"CBQPFC_E"	"2"	"Most of the time"	402	748	
"CBD710"	"CBQPFC_E"	"3"	"Sometimes"	726	1474	
"CBD710"	"CBQPFC_E"	"4"	"Rarely"	342	1816	
"CBD710"	"CBQPFC_E"	"5"	"Never"	168	1984	
"CBD710"	"CBQPFC_E"	"6"	"Never buy these items"	28	2012	
"CBD710"	"CBQPFC_E"	"7"	"Refused"	0	2012	
"CBD710"	"CBQPFC_E"	"9"	"Don't know"	1	2013	
"CBD710"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD715"	"CBQPFC_E"	"1"	"Always"	614	614	
"CBD715"	"CBQPFC_E"	"2"	"Most of the time"	477	1091	
"CBD715"	"CBQPFC_E"	"3"	"Sometimes"	592	1683	
"CBD715"	"CBQPFC_E"	"4"	"Rarely"	195	1878	
"CBD715"	"CBQPFC_E"	"5"	"Never"	126	2004	
"CBD715"	"CBQPFC_E"	"6"	"Never buy these items"	8	2012	
"CBD715"	"CBQPFC_E"	"7"	"Refused"	0	2012	
"CBD715"	"CBQPFC_E"	"9"	"Don't know"	1	2013	
"CBD715"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD720"	"CBQPFC_E"	"1"	"Always"	461	461	
"CBD720"	"CBQPFC_E"	"2"	"Most of the time"	329	790	
"CBD720"	"CBQPFC_E"	"3"	"Sometimes"	609	1399	
"CBD720"	"CBQPFC_E"	"4"	"Rarely"	308	1707	
"CBD720"	"CBQPFC_E"	"5"	"Never"	194	1901	
"CBD720"	"CBQPFC_E"	"6"	"Never buy these items"	111	2012	
"CBD720"	"CBQPFC_E"	"7"	"Refused"	0	2012	
"CBD720"	"CBQPFC_E"	"9"	"Don't know"	1	2013	
"CBD720"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD725"	"CBQPFC_E"	"1"	"Always"	611	611	
"CBD725"	"CBQPFC_E"	"2"	"Most of the time"	323	934	
"CBD725"	"CBQPFC_E"	"3"	"Sometimes"	420	1354	
"CBD725"	"CBQPFC_E"	"4"	"Rarely"	320	1674	
"CBD725"	"CBQPFC_E"	"5"	"Never"	319	1993	
"CBD725"	"CBQPFC_E"	"6"	"Never buy these items"	15	2008	
"CBD725"	"CBQPFC_E"	"7"	"Refused"	0	2008	
"CBD725"	"CBQPFC_E"	"9"	"Don't know"	5	2013	
"CBD725"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD730"	"CBQPFC_E"	"1"	"Always"	527	527	
"CBD730"	"CBQPFC_E"	"2"	"Most of the time"	345	872	
"CBD730"	"CBQPFC_E"	"3"	"Sometimes"	551	1423	
"CBD730"	"CBQPFC_E"	"4"	"Rarely"	268	1691	
"CBD730"	"CBQPFC_E"	"5"	"Never"	193	1884	
"CBD730"	"CBQPFC_E"	"6"	"Never buy these items"	127	2011	
"CBD730"	"CBQPFC_E"	"7"	"Refused"	0	2011	
"CBD730"	"CBQPFC_E"	"9"	"Don't know"	2	2013	
"CBD730"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD735"	"CBQPFC_E"	"1"	"Always"	643	643	
"CBD735"	"CBQPFC_E"	"2"	"Most of the time"	357	1000	
"CBD735"	"CBQPFC_E"	"3"	"Sometimes"	527	1527	
"CBD735"	"CBQPFC_E"	"4"	"Rarely"	227	1754	
"CBD735"	"CBQPFC_E"	"5"	"Never"	248	2002	
"CBD735"	"CBQPFC_E"	"6"	"Never buy these items"	11	2013	
"CBD735"	"CBQPFC_E"	"7"	"Refused"	0	2013	
"CBD735"	"CBQPFC_E"	"9"	"Don't know"	0	2013	
"CBD735"	"CBQPFC_E"	"."	"Missing"	856	2869	
"CBD740"	"CBQPFC_E"	"1"	"Yes"	868	868	""
"CBD740"	"CBQPFC_E"	"2"	"No"	1351	2219	"DBD930"
"CBD740"	"CBQPFC_E"	"3"	"Do not shop for food"	16	2235	"DBD930"
"CBD740"	"CBQPFC_E"	"7"	"Refused"	0	2235	"DBD930"
"CBD740"	"CBQPFC_E"	"9"	"Don't know"	12	2247	"DBD930"
"CBD740"	"CBQPFC_E"	"."	"Missing"	622	2869	""
"CBD745"	"CBQPFC_E"	"1"	"Always"	70	70	
"CBD745"	"CBQPFC_E"	"2"	"Most of the time"	142	212	
"CBD745"	"CBQPFC_E"	"3"	"Sometimes"	465	677	
"CBD745"	"CBQPFC_E"	"4"	"Rarely"	191	868	
"CBD745"	"CBQPFC_E"	"7"	"Refused"	0	868	
"CBD745"	"CBQPFC_E"	"9"	"Don't know"	0	868	
"CBD745"	"CBQPFC_E"	"."	"Missing"	2001	2869	
"DBD930"	"CBQPFC_E"	"1"	"Yes"	2031	2031	
"DBD930"	"CBQPFC_E"	"2"	"No"	212	2243	
"DBD930"	"CBQPFC_E"	"7"	"Refused"	0	2243	
"DBD930"	"CBQPFC_E"	"9"	"Don't know"	0	2243	
"DBD930"	"CBQPFC_E"	"."	"Missing"	626	2869	
"DBD935"	"CBQPFC_E"	"1"	"Yes"	926	926	
"DBD935"	"CBQPFC_E"	"2"	"No"	1317	2243	
"DBD935"	"CBQPFC_E"	"7"	"Refused"	0	2243	
"DBD935"	"CBQPFC_E"	"9"	"Don't know"	0	2243	
"DBD935"	"CBQPFC_E"	"."	"Missing"	626	2869	
"DBD940"	"CBQPFC_E"	"1"	"Yes"	1976	1976	
"DBD940"	"CBQPFC_E"	"2"	"No"	266	2242	
"DBD940"	"CBQPFC_E"	"7"	"Refused"	0	2242	
"DBD940"	"CBQPFC_E"	"9"	"Don't know"	1	2243	
"DBD940"	"CBQPFC_E"	"."	"Missing"	626	2869	
"DBD945"	"CBQPFC_E"	"1"	"Yes"	909	909	
"DBD945"	"CBQPFC_E"	"2"	"No"	1334	2243	
"DBD945"	"CBQPFC_E"	"7"	"Refused"	0	2243	
"DBD945"	"CBQPFC_E"	"9"	"Don't know"	0	2243	
"DBD945"	"CBQPFC_E"	"."	"Missing"	626	2869	
"CBD760"	"CBQPFC_E"	"16 to 79"	"Range of Values"	2242	2242	
"CBD760"	"CBQPFC_E"	"80"	">= 80 years of age"	0	2242	
"CBD760"	"CBQPFC_E"	"."	"Missing"	627	2869	
"CBD765"	"CBQPFC_E"	"1"	"Less than high school"	527	527	
"CBD765"	"CBQPFC_E"	"2"	"High school diploma (including GED) or"	565	1092	
"CBD765"	"CBQPFC_E"	"3"	"More than high school"	1149	2241	
"CBD765"	"CBQPFC_E"	"7"	"Refused"	0	2241	
"CBD765"	"CBQPFC_E"	"9"	"Don't know"	2	2243	
"CBD765"	"CBQPFC_E"	"."	"Missing"	626	2869	
"CBD770"	"CBQPFC_E"	"1"	"Male"	234	234	
"CBD770"	"CBQPFC_E"	"2"	"Female"	2009	2243	
"CBD770"	"CBQPFC_E"	"."	"Missing"	626	2869	
"CBQ785"	"CBQPFC_E"	"1"	"English"	1789	1789	
"CBQ785"	"CBQPFC_E"	"2"	"Spanish"	439	2228	
"CBQ785"	"CBQPFC_E"	"3"	"English and Spanish"	16	2244	
"CBQ785"	"CBQPFC_E"	"4"	"Other"	3	2247	
"CBQ785"	"CBQPFC_E"	"."	"Missing"	622	2869	
"WTDRD1"	"CBQPFC_E"	"2760.0726322 to 239185.8759"	"Range of Values"	2822	2822	
"WTDRD1"	"CBQPFC_E"	"."	"Missing"	47	2869	
"CBQ502"	"CBQPFC_F"	"1"	"Yes"	2054	2054	"CBQ505"
"CBQ502"	"CBQPFC_F"	"2"	"No"	396	2450	""
"CBQ502"	"CBQPFC_F"	"7"	"Refused"	0	2450	""
"CBQ502"	"CBQPFC_F"	"9"	"Don't know"	0	2450	""
"CBQ502"	"CBQPFC_F"	"."	"Missing"	495	2945	""
"CBQ503"	"CBQPFC_F"	"1"	"Yes"	267	267	
"CBQ503"	"CBQPFC_F"	"2"	"No"	129	396	
"CBQ503"	"CBQPFC_F"	"7"	"Refused"	0	396	
"CBQ503"	"CBQPFC_F"	"9"	"Don't know"	0	396	
"CBQ503"	"CBQPFC_F"	"."	"Missing"	2549	2945	
"CBQ505"	"CBQPFC_F"	"1"	"Yes"	2179	2179	""
"CBQ505"	"CBQPFC_F"	"2"	"No"	271	2450	"CBQ550"
"CBQ505"	"CBQPFC_F"	"7"	"Refused"	0	2450	""
"CBQ505"	"CBQPFC_F"	"9"	"Don't know"	0	2450	""
"CBQ505"	"CBQPFC_F"	"."	"Missing"	495	2945	""
"CBQ510"	"CBQPFC_F"	"1"	"Yes"	321	321	
"CBQ510"	"CBQPFC_F"	"2"	"No"	1858	2179	
"CBQ510"	"CBQPFC_F"	"7"	"Refused"	0	2179	
"CBQ510"	"CBQPFC_F"	"9"	"Don't know"	0	2179	
"CBQ510"	"CBQPFC_F"	"."	"Missing"	766	2945	
"CBQ515"	"CBQPFC_F"	"1"	"Yes"	35	35	
"CBQ515"	"CBQPFC_F"	"2"	"No"	2144	2179	
"CBQ515"	"CBQPFC_F"	"7"	"Refused"	0	2179	
"CBQ515"	"CBQPFC_F"	"9"	"Don't know"	0	2179	
"CBQ515"	"CBQPFC_F"	"."	"Missing"	766	2945	
"CBQ520"	"CBQPFC_F"	"1"	"Yes"	206	206	
"CBQ520"	"CBQPFC_F"	"2"	"No"	1973	2179	
"CBQ520"	"CBQPFC_F"	"7"	"Refused"	0	2179	
"CBQ520"	"CBQPFC_F"	"9"	"Don't know"	0	2179	
"CBQ520"	"CBQPFC_F"	"."	"Missing"	766	2945	
"CBQ525"	"CBQPFC_F"	"1"	"Yes"	1615	1615	
"CBQ525"	"CBQPFC_F"	"2"	"No"	564	2179	
"CBQ525"	"CBQPFC_F"	"7"	"Refused"	0	2179	
"CBQ525"	"CBQPFC_F"	"9"	"Don't know"	0	2179	
"CBQ525"	"CBQPFC_F"	"."	"Missing"	766	2945	
"CBQ530"	"CBQPFC_F"	"1"	"Yes"	1038	1038	
"CBQ530"	"CBQPFC_F"	"2"	"No"	1141	2179	
"CBQ530"	"CBQPFC_F"	"7"	"Refused"	0	2179	
"CBQ530"	"CBQPFC_F"	"9"	"Don't know"	0	2179	
"CBQ530"	"CBQPFC_F"	"."	"Missing"	766	2945	
"CBQ535"	"CBQPFC_F"	"1"	"Yes"	550	550	""
"CBQ535"	"CBQPFC_F"	"2"	"No"	1618	2168	"CBQ545"
"CBQ535"	"CBQPFC_F"	"7"	"Refused"	0	2168	"CBQ545"
"CBQ535"	"CBQPFC_F"	"9"	"Don't know"	11	2179	"CBQ545"
"CBQ535"	"CBQPFC_F"	"."	"Missing"	766	2945	""
"CBQ540"	"CBQPFC_F"	"1"	"Yes"	227	227	
"CBQ540"	"CBQPFC_F"	"2"	"No"	320	547	
"CBQ540"	"CBQPFC_F"	"7"	"Refused"	0	547	
"CBQ540"	"CBQPFC_F"	"9"	"Don't know"	3	550	
"CBQ540"	"CBQPFC_F"	"."	"Missing"	2395	2945	
"CBQ545"	"CBQPFC_F"	"1"	"Often"	635	635	
"CBQ545"	"CBQPFC_F"	"2"	"Sometimes"	938	1573	
