Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
ACD011B	ACQ_G	Speak Spanish at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLY TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD011C	ACQ_G	Speak other language at home -NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLY TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD040	ACQ_G	Language(s) spoken at home - Hispanics	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish more Spanish than English both equally more English than Spanish or only English?	HAND CARD ACQ1. THIS VARIABLE ONLY APPLY TO PARTICIPANTS SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2).	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD110	ACQ_G	Language(s) spoken at home - Asians	{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE) more (NON-ENGLISH LANGUAGE) than English both equally more English than (NON-ENGLISH LANGUAGE) or only English?	THIS VARIABLE ONLY APPLY TO PARTICIPANTS SELF-IDENTIFIED NON-HISPANIC ASIAN (i.e. RIDRETH3=6).	Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_H	Respondent sequence number	Respondent sequence number.		Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACQBOX1	ACQ_H			BOX 1. CHECK ITEM: IF THE PARTICIPANT SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2) GO TO ACD040; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC ASIAN (i.e. RIDRETH3=6) GO TO ACD110; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7) CONTINUE WITH ACD011A.	Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACD011A	ACQ_H	Speak English at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011B	ACQ_H	Speak Spanish at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011C	ACQ_H	Speak other language at home -NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD040	ACQ_H	Language(s) spoken at home - Hispanics	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish more Spanish than English both equally more English than Spanish or only English?	HAND CARD ACQ1. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD110	ACQ_H	Language(s) spoken at home - Asians	{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE) more (NON-ENGLISH LANGUAGE) than English both equally more English than (NON-ENGLISH LANGUAGE) or only English?	THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED NON-HISPANIC ASIAN (i.e. RIDRETH3=6).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
SEQN	ACQ_I	Respondent sequence number	Respondent sequence number.		Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACQBOX1	ACQ_I			BOX 1. CHECK ITEM: IF THE PARTICIPANT SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2) GO TO ACD040; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC ASIAN (i.e. RIDRETH3=6) GO TO ACD110; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7) CONTINUE WITH ACD011A.	Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACD011A	ACQ_I	Speak English at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011B	ACQ_I	Speak Spanish at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011C	ACQ_I	Speak other language at home -NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
