dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
ckd,ablation_L1,512,hist_gb,1.0,1.0,0.0117,1.0,0.0,0.937,399,False,True,True,True,True
ckd,ablation_L1,1024,hist_gb,1.0,1.0,0.0,1.0,0.0,0.9887,399,False,True,True,True,True
ckd,ablation_L1,2048,random_forest,0.9988,0.9988,0.0138,1.0,0.0012,0.66,399,False,True,True,True,True
ckd,ablation_L1,4096,hist_gb,1.0,1.0,0.0065,1.0,0.0,0.1934,399,False,True,True,True,True
ckd,ablation_L1,8192,random_forest,1.0,1.0,0.0051,1.0,0.0,0.665,399,False,True,True,True,True
ckd,ablation_L1,16384,logistic_l2,0.9996,0.9996,0.0092,0.9999,0.0003,0.2429,399,False,True,True,True,True
ckd,ablation_L1,32768,logistic_l2,1.0,1.0,0.0063,0.9999,-0.0001,0.809,399,False,True,True,True,True
ckd,ablation_L2,42,random_forest,1.0,1.0,0.0094,1.0,0.0,0.745,399,True,False,True,True,True
ckd,ablation_L2,123,logistic_l2,1.0,1.0,0.0097,0.9998,-0.0002,0.2869,399,True,False,True,True,True
ckd,ablation_L2,256,logistic_l2,1.0,1.0,0.0089,0.9997,-0.0003,0.5681,399,True,False,True,True,True
ckd,ablation_L2,512,hist_gb,0.9953,0.9973,0.0332,1.0,0.0047,0.9857,399,True,False,True,True,True
ckd,ablation_L2,1024,logistic_l2,1.0,1.0,0.005,0.9997,-0.0003,0.5385,399,True,False,True,True,True
ckd,ablation_L2,2048,logistic_l2,1.0,1.0,0.0244,1.0,0.0,0.2605,399,True,False,True,True,True
ckd,ablation_L2,4096,logistic_l2,0.9993,0.9996,0.0155,0.9999,0.0006,0.4139,399,True,False,True,True,True
ckd,ablation_L2,8192,logistic_l2,0.9907,0.9956,0.0232,0.9999,0.0092,0.4875,399,True,False,True,True,True
ckd,ablation_L2,16384,logistic_l2,1.0,1.0,0.0069,0.9996,-0.0004,0.5103,399,True,False,True,True,True
ckd,ablation_L2,32768,logistic_l2,0.9993,0.9996,0.0146,1.0,0.0007,0.6433,399,True,False,True,True,True
ckd,ablation_L3,42,random_forest,1.0,1.0,0.0064,1.0,0.0,0.655,399,True,True,False,True,True
ckd,ablation_L3,123,logistic_l2,0.9984,0.9984,0.0233,1.0,0.0016,0.2649,399,True,True,False,True,True
ckd,ablation_L3,256,hist_gb,1.0,1.0,0.0098,1.0,0.0,0.0115,399,True,True,False,True,True
ckd,ablation_L3,512,hist_gb,1.0,1.0,0.0105,1.0,0.0,0.994,399,True,True,False,True,True
ckd,ablation_L3,1024,logistic_l2,1.0,1.0,0.0054,0.9995,-0.0005,0.7563,399,True,True,False,True,True
ckd,ablation_L3,2048,random_forest,0.9996,0.9996,0.0126,1.0,0.0004,0.22,399,True,True,False,True,True
ckd,ablation_L3,4096,logistic_l2,1.0,1.0,0.0089,0.9997,-0.0003,0.2553,399,True,True,False,True,True
ckd,ablation_L3,8192,hist_gb,1.0,1.0,0.0006,1.0,0.0,0.8286,399,True,True,False,True,True
ckd,ablation_L3,16384,logistic_l2,0.9996,0.9996,0.0095,0.9999,0.0003,0.2364,399,True,True,False,True,True
ckd,ablation_L3,32768,logistic_l2,1.0,1.0,0.0064,0.9999,-0.0001,0.8093,399,True,True,False,True,True
ckd,ablation_L4,42,logistic_l2,0.9988,0.9986,0.0099,1.0,0.0012,0.8601,399,True,True,True,False,True
ckd,ablation_L4,123,logistic_l2,0.9996,0.9995,0.0149,1.0,0.0004,0.327,399,True,True,True,False,True
ckd,ablation_L4,256,logistic_l2,0.9988,0.9988,0.0194,1.0,0.0012,0.4061,399,True,True,True,False,True
ckd,ablation_L4,512,hist_gb,0.9992,0.9993,0.0216,1.0,0.0008,0.0343,399,True,True,True,False,True
ckd,ablation_L4,1024,hist_gb,1.0,1.0,0.0,1.0,0.0,0.9994,399,True,True,True,False,True
ckd,ablation_L4,2048,logistic_l2,1.0,1.0,0.0088,1.0,0.0,0.4097,399,True,True,True,False,True
ckd,ablation_L4,4096,logistic_l2,0.9988,0.9989,0.0171,0.9996,0.0008,0.4571,399,True,True,True,False,True
ckd,ablation_L4,8192,logistic_l2,1.0,1.0,0.011,0.9999,-0.0001,0.3771,399,True,True,True,False,True
ckd,ablation_L4,16384,logistic_l2,1.0,1.0,0.0132,0.9999,-0.0001,0.2498,399,True,True,True,False,True
ckd,ablation_L4,32768,random_forest,1.0,1.0,0.0133,1.0,0.0,0.74,399,True,True,True,False,True
ckd,ablation_L5,42,random_forest,1.0,1.0,0.0061,1.0,0.0,0.575,399,True,True,True,True,False
ckd,ablation_L5,123,logistic_l2,0.9996,0.9996,0.0179,1.0,0.0004,0.6796,399,True,True,True,True,False
ckd,ablation_L5,256,logistic_l2,1.0,1.0,0.0187,1.0,0.0,0.4981,399,True,True,True,True,False
